Second.SampleID,First.SampleID,MATCH,First.ID,Loci.typed,Second.ID,Loci.typed.1,Matching.loci,Mismatching.loci,pID,pIDsib,Status,First.year,Second.year,First.Lat,First.Lon,First.Anem_ID,First.Date,First.Size,First.Tail_color,First.Age,First.Notes,Second.Lat,Second.Lon,Second.Anem_ID,Second.Date,Second.Size,Second.Tail_color,Second.Age,Second.Notes,distkm,Mismatch.prop,col
APCL13_101,APCL13_090,NO_same_year_same_anem,APCL_13090L0425,261,APCL_13101L0427,261,261,0,1.42E-79,2.16E-36,Exact match,2013,2013,10.7440008,124.7863023,51,5/24/13,10.3,YP,A,NA,10.809143,124.765432,57,5/25/13,6.1,YR,L,NA,7.593764813,0,
APCL14_049,APCL13_565,MATCH_diff_year_small_dist,APCL_13565L0670,265,APCL_14049L0726,265,257,8,0,0,Fuzzy match,2013,2014,10.633602,124.7767905,311,6/3/13,9.6,YP,A,NA,10.63357,124.776796,406,6/12/14,8.8,YR,L,multiple pieces,0.003610039,0.031128405,
APCL13_626,APCL13_313,NO_same_year_same_anem,APCL_13313L0344,265,APCL_13626L0691,265,244,21,0,0,Fuzzy match,2013,2013,10.8714993,124.714174,181,5/28/13,4.9,YP,A,NA,10.871468,124.714191,180,6/4/13,4.9,YR,L,NA,0.003944102,0.086065574,
APCL13_334,APCL13_333,NO_same_year_same_anem,APCL_13333L0357,265,APCL_13334L0358,233,227,6,0,0,Fuzzy match,2013,2013,10.8553445,124.7268745,195,5/29/13,6.9,YP,A,NA,10.8553973,124.726892,196,5/29/13,8.9,O,A,NA,0.006174445,0.026431718,
APCL14_049,APCL13_565,MATCH_diff_year_small_dist,APCL_13565L0670,265,APCL_14049L1740,265,254,11,0,0,Fuzzy match,2013,2014,10.633602,124.7767905,311,6/3/13,9.6,YP,A,NA,10.63357,124.776796,406,6/12/14,8.8,YR,L,multiple pieces,0.003610039,0.043307087,
APCL14_126,APCL14_126,MATCH_regenotyped,APCL_14126L1321,250,APCL_14126L1701,265,242,8,0,0,Fuzzy match,2014,2014,NA,NA,450,6/16/14,8.1,O,A,NA,NA,NA,450,6/16/14,8.1,O,A,NA,NA,0.033057851,
APCL14_049,APCL13_565,MATCH_diff_year_small_dist,APCL_13565L1735,265,APCL_14049L1740,265,253,12,0,0,Fuzzy match,2013,2014,10.633602,124.7767905,311,6/3/13,9.6,YP,A,NA,10.63357,124.776796,406,6/12/14,8.8,YR,L,multiple pieces,0.003610039,0.04743083,
APCL14_049,APCL13_565,MATCH_diff_year_small_dist,APCL_13565L1735,265,APCL_14049L0726,265,251,14,0,0,Fuzzy match,2013,2014,10.633602,124.7767905,311,6/3/13,9.6,YP,A,NA,10.63357,124.776796,406,6/12/14,8.8,YR,L,multiple pieces,0.003610039,0.055776892,
APCL14_095,APCL13_485,MATCH_diff_year_small_dist,APCL_13485L0658,262,APCL_14095L0923,265,253,9,0,0,Fuzzy match,2013,2014,10.8731143,124.7119573,276,5/31/13,2.7,YR,L,NA,10.873067,124.712098,430,6/13/14,7.5,O,A,Seems unlikely that both of the large YPs are really from this anemone.,0.016239487,0.035573123,
APCL14_255,APCL13_587,MATCH_diff_year_small_dist,APCL_13587L0678,265,APCL_14255L0737,265,260,5,0,0,Fuzzy match,2013,2014,10.6340205,124.776657,321,6/3/13,9.1,O,A,"dark fish, took photos",10.634084,124.776499,536,6/22/14,8.2,O,A,NA,0.018654967,0.019230769,
